turkish,english
"Mutlaka yine çok güzel giyinir, bu yemeği de bir küçük törene hazırlanırcasına hazırlanırdı.","No doubt she would attire herself, wearing neat attractive clothes, as though she was dressing up for a festive occasion."
Sene 1923'tü.,1923.
"Rabia’nın gözleri camların arkasından coşup akan, kış Boğaziçi’sinin beyaz köpüklü yeşil sularına bir an takıldı kaldı.","A youngish woman had also risen from a chair by the window, and through the wide pane behind her Rabia caught sight of the white-capped waves and the angry green of the Bosphorus in winter."
"Ne Bukağılı Dede, ne Elekçi Baba, ne Üryan Dede, ne Tezveren Sultan, hiçbiri, hattâ ayazmaların serinliğinde yatan, yahut Heybeliada’nın, Büyükada’nın, Kınalı’nın en yüksek tepelerinde, rüzgârda köpüre köpüre uyuyan Hıristiyan evliyaları da dahil, hiçbiri derdime çare bulamamışlar, üzerimdeki maişet sıkıntısını bir parmak kaldırmamışlardı.","Neither Bukagili Dede, nor Elekgi Baba, nor Uryan Dede, nor Tezveren Sultan, not one—not even those who slept in the coolness of holy springs, nor the Christian saints drooling in their sleep on the high windswept hilltops of Heybeliada, Buyukada, and Kinaliada among the Princes’ Islands—not one offered any balm for my wounds, not one ever lifted a finger to ease my pain and suffering as I struggled to put food on the table."
"Rafo evine iyi şaraplar getirebilecek düzeyde para kazanmaya başlamamış olsa, Selva bu kadar çok üzülmeyecekti, her şeyin altüst olmasına. Hayatlarını tam yoluna koyduklarım sandıkları bir anda olmuştu olanlar.","If Rafo hadn’t been able to fulfill that promise, Selva would not have been very upset, but as it happened just as Rafo had achieved his aim, everything turned upside down."
"Günün birinde, bir akşam vakti, yıllardır beraber yaşadığı kadına ud çalar, Selahattin Pınar’ın şarkılarından birini söylerken aniden ölüvermişti Muhittin Bey. Aniden, şarkıyı bitiremeden, başını udun üzerine dayayarak, hafiften gülümseyerek... Bir kalp sektesi olmalıydı...","One evening, Muhittin Bey, who, while singing a song of Selahattin Pınar to the accompaniment of the lute he himself played for the woman with whom he had been living, had suddenly died, reposing his head on his lute, with a faint smile on his lips; a heart attack probably . . ."
Tatar dilencinin küfürlerine işte böyle boş yakalandım.,This was how I fell unwitting victim to the curses of the Tatar beggar.
"Onlar, Abdi Ağayı bekliyorlardı. İçerden, Abdi Ağa çıkacak da onlara bir şey söyleyecek.","They were waiting for Abdi Agha, who would come out and speak to them."
"Fakat Nuran, bir şey söyleyecek halde değildi.","Nuran, for her part, was in no state to utter a word."
"Herkes, bir kez daha, ailelerinin kutsallığını koruma adına, ailelerinin sınırlarından yabancıları geçirmemek için, başka bir ailenin yazgısına yalnızca seyirci kalmayı seçmişti.","Everybody preferred to remain a mere spectator to the fate of other families, not to let outsiders trespass the limits drawn by their own families, in order to protect the sanctity of their households."
Ve bu gece burada yatanın da böyle bir mahiyet ve cins değiştiren hayvandan ne farkı vardı?,What difference was there between the one who lay here tonight and the creatures that changed character and form this way?
Ben hiç de fena bir şey yapmadım; seni sadece güzel buldum.,I haven’t done anything all that indecent. I’ve only found you beautiful.
Kendisi de elbisesine pek bayılmıştı. İkide bir aynaya bakıyordu.,"She herself was quite taken with the costume, frequently looking into the mirror."
"""Ne iş yaparmış?""",“What about him? What does he do?”
"Melun!"" diyerek zavallı kızın başını yanındaki duvara öyle bir çarptı ki vurmasıyla Dilaşub'un ağzından burnundan siyah kanlar dökülerek ölü gibi boylu boyunca yere yıkıiması bir oldu.",Traitor!” He said and then he hit the poor girl’s head to the wall beside her at such a great speed that she collapsed on the floor and remained there like a dead person as black blood flew out of her mouth and nose.
"Halit Bey bana, dünyada sen kocanı anlayamazsın!",Halit Bey told me I would never be able to understand my husband!
"Tüm servetini, onurunu yitirmiş babasına yardım elini uzatabilecek, destek olabilecek tek ‘kadın’ olarak kalmıştı.",She was the only woman who could extend a helping hand to her father who had lost all his wealth and honor.
"""Olur mu hiç!",“Absolutely not!
"Ama unutma, burası onun çocuklarını doğurup mutlulukla büyüttüğü kendi evidir.""","But never forget that this is her first home, where she gave birth to her children and happily raised them.”"
Ohannes İstanbuliyan söylentilere inanmıyordu.,Hovhannes Stamboulian didn't give those rumors much credit.
"Konsolos'u görünce, koştu geldi yanma,","When he saw the consul, he rushed up to him and said, “Apparently they’ve loaded them onto a train, they took them away…”"
Avlu kapısındaki merdivenlerde Başnakkaş Üstat Osman ile yan yana düştük de birbirimize ne diyeceğimizi bilemedik.,"On the stairs of the courtyard gate I found myself beside Head Illuminator Master Osman. We were both at a loss for words, a strange and tense moment."
Her hâlde karışık bir işti bu.,It was a very complicated business.
"Bu salı günü, İstanbul'un kuşkusuz en dengesiz ayı olan mart, bir başka kimlik krizi daha geçirerek, kendi köklerine dair fikrini bir kez daha değiştirmiş ve aslında kış mevsimine ait olduğunda-karar kılmıştı. Haliyle hava aniden soğuyuverdi.","This Tuesday, in the month of March, no doubt the most unbalanced and unbalancing month in Istanbul, seemed to have changed its mind yet again, deciding it in fact belonged to the winter season."
"Aram, yıllardan beri binlerce kez öpmeyi düşündüğü Saba-hat'ın, mahzun yüzünü ellerinin arasına aldı, öpmeye kıyama-dan, dudaklarıyla ağzını kapattı. Bir an öyle kaldılar.","Aram cupped the face he had dreamed of kissing all these years, leaned closer, and gently silenced her with his lips. A moment later, Sabahat pulled back."
Filmin şarkısını hiçbir zaman unutamayacaktım. Hiçbir zaman... ‘Put the blame on me’... Jozi’nin yüzü bembeyazdı.,Well I remember the song that Rita sang: Put the blame on me boy . . . Josy had a pallid expression.
"""Acıkmadın mı?","""Aren't you hungry?"
"Girdiğim odaların birinde kalabilir, gizlenmek, kaçışımı yaşamak isteyebilirdim.","For, I might choose to stay in one of those rooms and hide there, experiencing the pleasure of my flight."
Bazı bağlantıları kurmama olanak tanıyan bir olay bu aynı zamanda.,This is at the same time an event that prevents the establishment of certain connections.
Vayvay köyünden gelen paralar da Kerimoğlu yoluyla ulaşıyordu. Bayramı Koca Osman kadar Kerimoğlu da dört gözle bekliyordu. Şunun şurasında ne kaldı.,"The money from Vayvay village was also brought by Kerimoghlu, who was waiting for the bayram as impatiently as Big Osman."
Duyduğum doğru mu Döne?,"""Is it true what I've heard, Deuneh?"""
— Yirmi kişilik bir kuvvetin başında olan Arslan Kaptan. Dayı da var orda.,"“Aslan Captan has a force of twelve, there is also Dayi *Uncle).”"
"Ahmet Reşat, rıhtıma yanaşmak için manevra yapmakta olan vapurdan bir kuş gibi uçup karısının omzuna konmak, kızlarını hasretle bağrına basmak, torunlarının enselerine burnunu dayayıp çocuklara mahsus o masumiyet kokusunu içine çekmek, Mehpare'ye sarılıp alnından öpmek istedi.","As the steamer slowly maneuvered into position, Ahmet Reşat wished he could take wing like a gull; alight on his wife’s shoulder; clasp his daughters in his arms; nuzzle his grandchildren’s necks, delighting in that scent of innocence particular to young children; and embrace Mehpare and kiss her on the forehead."
Margot gecikmişti biraz.,Margot was a little later than expected.
"Varlıklı bir aileye, çok renkli bir muhitte doğmuştu.","He was the son of a wealthy family, and had enjoyed a very privileged upbringing."
O gün sabahleyin olan biteni ve gece de Irazın evlerini yaktığını şikayet etti: Evin halen yanmakta olduğunu da ekledi sözlerine.,"There he filed a complaint about the events of the morning and about her setting fire to their house, declaring that the house was still burning."
Duvarda kalın saplı şemsiye asılıydı.,On the wall hung a thick-handled umbrella.
"Hoca, beklemediğim kadar kaba bir tepki gösterdi: Evlenmek istemediğini, ama istese bile dul kadın almayacağını söyledi.","Hoja reacted more brutally than I’d expected: he said he did not want to marry, but even if he had he wouldn’t take a widow."
"Çünkü, büyük bir üstattır, ama bunu bilmez ve nakşederken de âlemi unutamaz.""","He’s a great master, but he’s not aware of this, and he can’t leave the world behind when he paints.”"
"Doğrusu Amerikalı kız beklediğinden çok daha güzel çıkmıştı; hoş, bir şey beklediği de yoktu ya. Ne var ki havaalanında karşılayacaktan kızın aptal bir sansın olacağını düşünmüş, öyle ummuştu içten içe. Oysa hiç de öyle görünmüyordu bu kız. Bir ağırlık vardı hallerinde, üzerinde...","To tell the truth, the American girl had turned out to be far more beautiful than she had expected; not that she was expecting anything, but deep inside Asya had thought, and perhaps hoped, that it would be some stupid blonde who they would welcome at the airport."
Hangisinin büyük hangisinin küçük olduğunu görmek için ölçemezsin damlaları.,"and you cannot measure off one drop against another to see which one is bigger, which one smaller."
"Bir Eylül öğleden sonrasında, Sabiha ile Macit'ten Markiz'in önünde ayrıldıklarında, Rafo Selva'yı elinden tutup kendi evine götürmüştü.","One September afternoon, after leaving Sabiha and Macit at the Marquise Café, Rafo at last took Selva to his home."
"Karanlık dağıldı. Şehrin üstü inci beyazlığında bir dumana bürünmüş. Minareler, kuleler, uçlu, uçsuz bütün şekiller rüyada görülen şeyler gibi uzak, silik. Suların kurşunî yüzü uykuda.","The translucent, misty atmosphere was still white, with pearly tints, as yet without the blush of dawn. The myriads of turrets veiled by the white haze, the grey-blue waters, motionless as a polished mirror, were not yet awake."
Fakat ne garipti biliyor musun?,Do you have any idea how strange it was?
"Gelinlerden her biri ya şöhretli müşirin, veya vezirin kızı, yahut da bir Arnavutluk beyinin torunuydu.","If the brides were not daughters of famous field marshals or grand viziers, they were granddaughters of Albanian beys."
"Dört seneden beridir, ilk defa yaz denen harikulâ-de kuş kendisinin oluyordu.","For the first time in four years, that spectacular winged gryphon known as summer was his."
Farkına varmadan İstanbul hayalet şehre dönüşmüştü onun için; zaman zaman rüyalarına girmek dışında hiçbir çağrışımı olmayan bir meçhul masalsı diyar.,"Istanbul had imperceptibly become a ghost city for him, one that had no reality except to appear every now and then in dreams."
"Bu insanlar üzerine biraz düşündükten sonra, aptallarını hatırlayarak öfkelenince de hak verdim ona.","Then, reflecting on these people for a while, he remembered his fools and grew angry, and I felt he had good cause."
"Bırakın ki vaktinde yetişir, sonuna kadar sabreder, aktarmaları tam zamanında yaparsanız, içindekini behemehal bir yere götüren trenlere benzer.","School reminds me of a train that carries you to a destination— providing you arrive on time, make all the right connections and wait patiently for the journey’s end."
